Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Sporting Cristal,1.24,1.15,0.09,1.15,1.11,0.04,0.09,0.04,0.05,1.24,1.15,0.09,1,1,0,-0.09,52.9,52.76,47.55,0.74,0.36,214,12,14,16,18.92,44.44,10.06,8,7,13,3,11,106.1,65.94,50.53,46.39,97.63,63.06,0,Deportivo Garcilaso 1-1 Sporting Cristal,2026-02-01
Deportivo Garcilaso,1.15,1.24,-0.09,1.11,1.15,-0.04,0.04,0.09,-0.05,1.15,1.24,-0.09,1,1,0,0.09,47.1,47.24,43.39,0.36,0.74,150,8,16,14,44.44,18.92,8.77,7,8,11,3,15,54.8,34.06,58.4,53.61,57.2,36.94,2,Deportivo Garcilaso 1-1 Sporting Cristal,2026-02-01
Cienciano,0.71,2.17,-1.46,0.63,1.83,-1.2,0.08,0.34,-0.26,0.71,2.17,-1.46,0,2,-2,-0.54,51.0,50.71,49.75,0.86,1.13,181,10,13,12,15.12,10.62,6.61,5,3,28,9,10,63.5,35.88,21.07,36.92,58.5,26.94,3,Melgar 2-0 Cienciano,2026-01-31
Melgar,2.17,0.71,1.46,1.83,0.63,1.2,0.34,0.08,0.26,2.17,0.71,1.46,2,0,2,0.54,49.0,49.29,50.08,1.13,0.86,171,17,12,13,10.62,15.12,8.55,3,5,20,9,17,113.5,64.12,36.0,63.08,158.67,73.06,2,Melgar 2-0 Cienciano,2026-01-31
FC Cajamarca,2.08,2.06,0.02,1.3,0.37,0.93,0.02,0.17,-0.15,1.32,0.54,0.78,3,3,0,-0.02,45.9,57.35,50.24,1.03,0.52,185,17,12,10,11.65,19.23,12.69,3,1,13,4,15,88.2,58.6,75.53,74.59,120.3,76.43,1,Juan Pablo II College 3-3 FC Cajamarca,2026-01-31
Juan Pablo II College,2.06,2.08,-0.02,0.37,1.3,-0.93,0.17,0.02,0.15,0.54,1.32,-0.78,3,3,0,0.02,54.1,42.65,46.82,0.52,1.03,189,10,10,12,19.23,11.65,10.48,1,3,13,4,7,62.3,41.4,25.73,25.41,37.1,23.57,0,Juan Pablo II College 3-3 FC Cajamarca,2026-01-31
Los Chankas,0.5,1.44,-0.94,0.48,1.44,-0.96,0.02,0.0,0.02,0.5,1.44,-0.94,1,1,0,0.94,36.5,31.5,42.85,0.28,0.59,100,5,9,16,32.14,27.12,13.7,1,6,12,3,14,23.6,16.1,94.13,90.57,68.17,56.62,1,Sport Boys 1-1 Los Chankas,2026-01-31
Sport Boys,1.44,0.5,0.94,1.44,0.48,0.96,0.0,0.02,-0.02,1.44,0.5,0.94,1,1,0,-0.94,63.5,68.5,50.08,0.59,0.28,261,9,16,9,27.12,32.14,5.26,6,1,16,1,17,123.0,83.9,9.8,9.43,52.23,43.38,1,Sport Boys 1-1 Los Chankas,2026-01-31
Atlético Grau,0.78,0.52,0.26,0.78,0.49,0.29,0.0,0.03,-0.03,0.78,0.52,0.26,0,2,-2,-2.26,55.8,45.04,44.93,0.24,0.44,191,2,7,7,29.17,15.91,12.85,4,7,9,2,7,45.9,46.6,12.67,19.08,15.93,11.84,1,UTC Cajamarca 2-0 Atlético Grau,2026-01-30
UTC Cajamarca,0.52,0.78,-0.26,0.49,0.78,-0.29,0.03,0.0,0.03,0.52,0.78,-0.26,2,0,2,2.26,44.2,54.96,46.67,0.44,0.24,164,5,7,7,15.91,29.17,11.21,7,4,11,2,9,52.6,53.4,53.73,80.92,118.6,88.16,0,UTC Cajamarca 2-0 Atlético Grau,2026-01-30
